id,name,type,sort,ranking,points,gender,alive,genre
youn,Young Stoner Life Records,2,4,NA,NA,NA,NA,NA
niyo,Nicky Youre,1,1,44,2134,2,1,1
rocn,Roc Nation,2,5,NA,NA,NA,NA,NA
mega,Megan Thee Stallion,1,1,57,1635,1,1,4
cody,Cody Johnson,1,1,58,1587,2,1,8
dove,Dove Cameron,1,1,60,1561,1,1,1
glor,GloRilla,1,1,61,1552,1,1,4
card,Cardi B,1,1,62,1541,1,1,4
chri,Chris Brown,1,1,63,1518,2,1,4
hard,Hardy,1,1,64,1481,2,1,8
lain,Lainey Wilson,1,1,65,1476,1,1,8
muni,Muni Long,1,1,66,1430,1,1,6
samh,Sam Hunt,1,1,67,1422,2,1,8
metr,Metro Boomin,1,3,68,1389,2,1,4
nard,Nardo Wick,1,1,68,1389,2,1,4
oliv,Olivia Rodrigo,1,1,68,1389,1,1,1
lubr,Luke Bryan,1,1,72,1369,2,1,8
beck,Becky G,1,1,73,1362,1,1,10
djkh,DJ Khaled,1,1,74,1326,2,1,4
bebe,Bebe Rexha,1,1,75,1315,1,1,1
cami,Camila Cabello,1,1,77,1308,1,1,1
jess,Jessica Darrow,1,1,78,1303,1,1,1
tyle,Tyler Hubbard,1,1,80,1286,2,1,8
rauw,Rauw Alejandro,1,1,82,1213,2,1,10
kany,Kanye West,1,1,83,1203,2,1,4
jaso,Jason Aldean,1,1,84,1194,2,1,8
jell,Jelly Roll,1,1,85,1188,2,1,8
rodw,Rod Wave,1,1,86,1126,2,1,4
thom,Thomas Rhett,1,1,87,1073,2,1,8
olga,Olga Merediz,1,1,88,1006,1,1,1
parm,Parmalee,1,2,89,990,2,1,8
yobo,YoungBoy Never Broke Again,1,1,90,989,2,1,4
brit,Britney Spears,1,1,92,956,1,1,1
jonp,Jon Pardi,1,1,93,952,2,1,8
jax,Jax,1,1,96,924,1,1,1
mira,Miranda Lambert,1,1,98,919,1,1,8
scot,Scotty McCreery,1,1,99,898,2,1,8
silk,Silk Sonic,1,2,100,897,2,1,6
slea,SleazyWorld Go,1,1,102,875,2,1,4
trav,Travis Scott,1,1,103,872,2,1,4
yung,Yung Gravy,1,1,104,868,2,1,4
kate,Katelyn Brown,1,1,105,853,1,1,1
tyga,Tyga,1,1,106,850,2,1,4
proj,Project Pat,1,1,107,835,2,1,4
rocn,Roc Nation,2,5,NA,NA,NA,NA,NA
cert,1501 Certified Entertainment,2,5,NA,NA,NA,NA,NA
disr,Disruptor Records,2,4,NA,NA,NA,NA,NA
orch,The Orchard,2,7,NA,NA,NA,NA,NA
cole,Collective Music Group,2,4,NA,NA,NA,NA,NA
bbrm,BBR Music Group,2,4,NA,NA,NA,NA,NA
bmgr,BMG Rights Management,2,3,NA,NA,NA,NA,NA
boom,Boominati Records,2,4,NA,NA,NA,NA,NA
cana,Capitol Records Nashville,2,4,NA,NA,NA,NA,NA
kemo,Kemosabe Records,2,4,NA,NA,NA,NA,NA
sola,Sony Music Latin,2,4,NA,NA,NA,NA,NA
weth,We The Best Music Group,2,4,NA,NA,NA,NA,NA
ware,Warner Records,2,4,NA,NA,NA,NA,NA
emna,EMI Records Nashville,2,4,NA,NA,NA,NA,NA
good,GOOD Music,2,5,NA,NA,NA,NA,NA
wyte,Wyte Music,2,5,NA,NA,NA,NA,NA
almo,Almo Records,2,5,NA,NA,NA,NA,NA
bigm,Big Machine Records,2,5,NA,NA,NA,NA,NA
ston,Stoney Creek Records,2,4,NA,NA,NA,NA,NA
neve,Never Broke Again,2,4,NA,NA,NA,NA,NA
trip,Triple Tigers,2,5,NA,NA,NA,NA,NA
gran,Grand Hustle,2,5,NA,NA,NA,NA,NA
cact,Cactus Jack Records,2,5,NA,NA,NA,NA,NA
last,Last King Records,2,5,NA,NA,NA,NA,NA
rela,Relativity Records,2,4,NA,NA,NA,NA,NA
jack,Jackson Dean,1,1,126,498,2,8,1
rone,The Ronettes,1,2,127,491,1,1,1
kels,Kelsea Ballerini,1,1,128,479,1,8,1
blac,Black River Entertainment,2,5,NA,NA,NA,NA,NA
kenn,Kenny Chesney,1,1,129,479,2,8,1
mitc,Mitchell Ayres and his Orchestra,1,1,130,470,2,1,2
blue,Bluebird Records,2,4,NA,NA,NA,NA,NA
mite,Mitchell Tenpenny,1,1,131,470,2,8,1
rico,Riser House/Columbia Nashville,2,4,NA,NA,NA,NA,NA
font,The Fontane Sisters,1,2,132,470,1,1,2
snoo,Snoop Dogg,1,1,133,466,2,4,1
deat,Death Row Records,2,5,NA,NA,NA,NA,NA
real,Real Talk Entertainment,2,4,NA,NA,NA,NA,NA
megh,Meghan Trainor,1,1,134,451,1,1,1
dean,Dean Martin,1,1,135,450,2,1,2
wabr,Warner Bros. Records,2,4,NA,NA,NA,NA,NA
juic,Juice WRLD,1,1,136,443,2,4,2
dont,Don Toliver,1,1,137,437,2,4,1
carl,Carly Pearce,1,1,138,414,1,8,1
summ,Summer Walker,1,1,139,409,1,6,1
lvrn,LVRN,2,4,NA,NA,NA,NA,NA
ashl,Ashley McBryde,1,1,140,407,1,8,1
jimm,Jimmie Allen,1,1,141,405,2,8,1
gucc,Gucci Mane,1,1,142,403,2,4,1
reco,1017 Records,2,4,NA,NA,NA,NA,NA
gher,G Herbo,1,1,143,401,2,4,1
mach,Machine Entertainment Group,2,5,NA,NA,NA,NA,NA
darl,Darlene Love,1,1,144,395,1,6,1
dust,Dustin Lynch,1,1,145,395,2,8,1
laur,Lauren Alaina,1,1,146,395,1,8,1
bill,Billie Eilish,1,1,147,386,1,1,1
brad,Brad Paisley,1,1,148,379,2,8,1
aris,Arista Nashville,2,4,NA,NA,NA,NA,NA
bing,Bing Crosby,1,1,150,378,2,1,2
poly,Polydor Records,2,4,NA,NA,NA,NA,NA
frid,Fridayy,1,1,151,370,2,4,1
arma,Armani White,1,1,152,361,2,4,1
mone,Moneybagg Yo,1,1,153,360,2,4,1
mald,Maldy,1,1,154,355,2,10,1
mpbr,"2019 MPB Records & Glad Empire, LCC",2,5,155,NA,NA,NA,NA
aril,Ari Lennox,1,1,156,354,1,4,1
fran,Frank Sinatra,1,1,157,348,2,9,2
repr,Reprise Records,2,4,NA,NA,NA,NA,NA
lana,Lana del Rey,1,1,156,345,1,1,1
russ,Russ,1,1,157,339,2,4,
diem,DIEMON,2,5,NA,NA,NA,NA,NA
elle,Elle King,1,1,158,335,1,8,1
lady,Lady Gaga,1,1,159,332,1,1,1
strea,Streamline Records,2,4,NA,NA,NA,NA,NA
mich,Michael Ray,1,1,160,319,2,8,1
