id,name,type,sort,ranking,points,gender,alive,genre
unna,Universal Music Group Nashville,2,4,NA,NA,NA,NA,NA
word,Word Records,2,5,NA,NA,NA,NA,NA
ware,Warner Records,2,4,NA,NA,NA,NA,NA
sona,Sony Music Nashville,2,4,NA,NA,NA,NA,NA
awal,AWAL,2,7,NA,NA,NA,NA,NA
wana,Warner Music Nashville,2,4,NA,NA,NA,NA,NA
joyt,Joytime Collective,2,6,NA,NA,NA,NA,NA
msft,MSFTS Music,2,6,NA,NA,NA,NA,NA
mcna,MCA Nashville Records,2,4,NA,NA,NA,NA,NA
righ,Right Hand Music Group,2,5,NA,NA,NA,NA,NA
barn,Barnaby Records,2,5,NA,NA,NA,NA,NA
camp,Camp South Records,2,6,NA,NA,NA,NA,NA
unla,Universal Music Latin Entertainment,2,4,NA,NA,NA,NA,NA
decc,Decca Records,2,4,NA,NA,NA,NA,NA
dark,Darkroom,2,4,NA,NA,NA,NA,NA
qual,Quality Control Music,2,5,NA,NA,NA,NA,NA
lost,Lost Kids,2,6,NA,NA,NA,NA,NA
redb,Red Bull Records,2,5,NA,NA,NA,NA,NA
evgl,Evgle,2,5,NA,NA,NA,NA,NA
coll,Collectables Records,2,5,NA,NA,NA,NA,NA
thti,Thirty Tigers,2,7,MA,NA,NA,NA,NA
rcav,RCA Victor,2,4,NA,NA,NA,NA,NA
anth,Anthem Records,2,5,NA,NA,NA,NA,NA
,,,,,,,,
drak,Drake,1,1,1,13174,2,1,4
doja,Doja Cat,1,1,3,11507,1,1,4
morg,Morgan Wallen,1,1,4,8858,2,1,8
lilb,Lil Baby,1,1,5,8665,2,1,4
futu,Future,1,1,6,8288,2,1,4
just,Justin Bieber,1,1,8,7534,1,1,1
tayl,Taylor Swift,1,1,11,6398,1,1,1
jaha,Jack Harlow,1,1,13,5106,2,1,4
post,Post Malone,1,1,14,4950,2,1,4
liln,Lil Nas X,1,1,15,4750,2,1,4
lild,Lil Durk,1,1,16,4562,2,1,4
sza,SZA,1,1,17,4444,1,1,6
gunn,Gunna,1,2,20,3910,2,1,4
step,Stephanie Beatriz,1,1,23,3745,1,1,1
beyo,Beyonce,1,1,24,3568,1,1,1
koda,Kodak Black,1,1,25,3484,2,1,4
latt,Latto,1,1,26,3376,1,1,4
bail,Bailey Zimmermann,1,1,27,3350,2,1,8
lizz,Lizzo,1,1,28,3245,1,1,4
luke,Luke Combs,1,1,30,3032,2,1,8
imag,Imagine Dragons,1,2,31,2927,2,1,3
cosw,Cole Swindell,1,1,32,2695,2,1,8
kane,Kane Brown,1,1,33,2529,2,1,1
walk,Walker Hayes,1,1,35,2498,2,1,8
jid,J.I.D,1,1,36,2425,2,1,4
nick,Nicki Minaj,1,1,37,2407,1,1,4
dian,Diane Guerrero,1,1,38,2380,1,1,1
stev,Steve Lacy,1,1,39,2371,2,1,1
kend,Kendrick Lamar,1,1,40,2361,2,1,4
zach,Zach Bryan,1,1,42,2220,2,1,8
niyo,Nicky Youre,1,1,44,2134,2,1,1
dazy,Dazy,1,8,43,2134,2,1,1
yoth,Young Thug,1,1,45,2081,2,1,4
embe,Em Beihold,1,1,46,1917,1,1,1
oner,OneRepublic,1,2,47,1895,2,1,1
adas,Adassa,1,1,48,1860,1,1,10
aria,Ariana Grande,1,1,49,1850,1,1,1
gayl,Gayle,1,1,50,1815,1,1,3
charl,Charlie Puth,1,1,52,1799,2,1,1
jord,Jordan Davis,1,1,53,1798,2,1,8
rhen,Rhenzy Feliz,1,1,54,1714,2,1,1
